15.42ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:55:9	get {}
14.60ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Abstract/Group.swift:7:13	public func **<G>(a: G, b: Int) -> G where G : Group
13.92ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Abstract/Monoid.swift:27:13	public func **<G>(a: G, b: Int) -> G where G : Monoid
11.46ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/Simplex.swift:75:17	public func face(_ index: Int) -> Simplex
11.34ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:319:19	override func iteration() -> Bool
11.20ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:15:12	public init<S>(_ vertexSet: VertexSet, _ simplices: S, generate: Bool = default) where S : Sequence, S.Iterator.Element == Simplex
11.07ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Abstract/AdditiveGroup.swift:11:24	public static func -(a: Self, b: Self) -> Self
10.44ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/Homology.swift:27:42	get {}
10.00ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Abstract/Field.swift:15:21	get {}
9.74ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/FreeModuleQuotient.swift:85:25	private static func calculateP<n, k, l>(_ M: Matrix<R, n, k>, _ N: Matrix<R, n, l>) -> Matrix<R, k, l> where n : _Int, k : _Int, l : _Int
9.62ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:52:17	public func cochainComplex<R>(type: R.Type) -> CochainComplex<Simplex, R> where R : Ring
9.47ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/ChainComplex.swift:53:25	get {}
8.35ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Numbers/Integer.swift:19:33	get {}
8.07ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/FreeModule.swift:84:24	public static func transform<n, m>(elements: [FreeModule<A, R>], matrix Q: Matrix<R, n, m>) -> [FreeModule<A, R>] where n : _Int, m : _Int
7.92ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Polynominal.swift:134:47	(closure)
7.82ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:66:42	(closure)
7.79ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/Homology.swift:80:41	get {}
7.66ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/FreeModuleQuotient.swift:46:36	get {}
7.49ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Quotient/PolynominalQuotientRing.swift:51:55	get {}
7.10ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:134:13	public func +(K1: SimplicialComplex, K2: SimplicialComplex) -> SimplicialComplex
6.89ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:402:18	private func eliminateRow(_ i0: inout Int, _ j0: Int) -> Bool
6.48ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Hom/FreeModHom.swift:19:12	public init(domainBasis: [A], codomainBasis: [A], mapping: [R])
6.47ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Abstract/EuclideanRing.swift:38:13	public func bezout<R>(_ a: R, _ b: R) -> (x: R, y: R, r: R) where R : EuclideanRing
6.45ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:22:25	get {}
6.22ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:439:18	private func eliminateCol(_ i0: Int, _ j0: inout Int) -> Bool
5.94ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/FreeModuleQuotient.swift:95:51	(closure)
5.85ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:218:26	public mutating func addCol(at j0: Int, to j1: Int, multipliedBy r: R = default)
5.51ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:204:26	public mutating func addRow(at i0: Int, to i1: Int, multipliedBy r: R = default)
5.44ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:308:38	get {}
5.32ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Permutation.swift:7:13	private init(elements: [Int])
5.08ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:42:42	(closure)
4.44ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Extensions/Dictionary.swift:12:14	internal init(_ pairs: [Element])
4.37ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/Simplex.swift:39:12	public init(number: Int, prefix: String = default)
4.24ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/FreeModule.swift:13:12	public init(basis: [A], values: [R])
4.13ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Matrix.swift:113:13	public func **<R, n>(a: Matrix<R, n, n>, k: Int) -> Matrix<R, n, n> where R : Ring, n : _Int
4.04ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:280:10	func run()
4.02ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Concrete/Polynominal.swift:70:24	public static func eucDiv<K>(_ f: Polynomial<K>, _ g: Polynomial<K>) -> (q: Polynomial<K>, r: Polynomial<K>) where K : Field
3.97ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Homology/SimplicialComplex.swift:76:18	private func boundaryMapMatrix<R>(_ from: [Simplex], _ to: [Simplex]) -> TypeLooseMatrix<R> where R : Ring
3.88ms	/Users/taketo/Projects/SwiftyAlgebra/Sources/Tools/MatrixElimination.swift:51:38	get {}
